Source,Target,Fraction of connected pairs in possible ones (%),Fraction of connected pairs in all pairs (%)
cortex: pop_name=='['CP']',cortex: pop_name=='['CP']',[23.24894339  6.76893231],[23.24894339  6.76893231]
cortex: pop_name=='['CS']',cortex: pop_name=='['CS']',[10.18776415  0.90265364],[10.18776415  0.90265364]
cortex: pop_name=='['CP']',cortex: pop_name=='['CS']',[0.9417301  8.4083045  0.22491349],[0.9417301  8.4083045  0.22491349]
cortex: pop_name=='['FSI']',cortex: pop_name=='['FSI']',[47.14932127 47.14932127],[47.14932127 47.14932127]
cortex: pop_name=='['LTS']',cortex: pop_name=='['LTS']',[17.28085868  2.86225403],[17.28085868  2.86225403]
cortex: pop_name=='['FSI']',cortex: pop_name=='['LTS']',[13.50226244 27.63348416 10.98190045],[13.50226244 27.63348416 10.98190045]
cortex: pop_name=='['CP']',cortex: pop_name=='['FSI']',[11.60484429 26.32179931  9.2366782 ],[11.60484429 26.32179931  9.2366782 ]
cortex: pop_name=='['CS']',cortex: pop_name=='['FSI']',[14.24636678 23.26228374  9.95570934],[14.24636678 23.26228374  9.95570934]
cortex: pop_name=='['CP']',cortex: pop_name=='['LTS']',[15.12126697 32.34932127 14.72036199],[15.12126697 32.34932127 14.72036199]
cortex: pop_name=='['CS']',cortex: pop_name=='['LTS']',[16.88778281  8.04705882  4.12036199],[16.88778281  8.04705882  4.12036199]
cortex: pop_name=='FSI'Gap,cortex: pop_name=='FSI'Gap,4.6780368952314655,2.3252595155709344
cortex: pop_name=='LTS'Gap,cortex: pop_name=='LTS'Gap,1.419200954084675,0.7041420118343195
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['CP']',14.020038784744667,14.020038784744667
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['CS']',5.2325543916196615,5.2325543916196615
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['CS']',0.9243697478991597,0.9243697478991597
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['CP']',7.7534246575342465,7.7534246575342465
uncorrelated: pop_name=='['FSI']',cortex: pop_name=='['FSI']',44.3190975020145,44.3190975020145
uncorrelated: pop_name=='['LTS']',cortex: pop_name=='['LTS']',7.6923076923076925,7.6923076923076925
uncorrelated: pop_name=='['FSI']',cortex: pop_name=='['LTS']',11.791359325605901,11.791359325605901
uncorrelated: pop_name=='['LTS']',cortex: pop_name=='['FSI']',23.46638655462185,23.46638655462185
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['FSI']',8.947963800904978,8.947963800904978
uncorrelated: pop_name=='['FSI']',cortex: pop_name=='['CP']',19.2812248186946,19.2812248186946
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['FSI']',10.68170829975826,10.68170829975826
uncorrelated: pop_name=='['FSI']',cortex: pop_name=='['CS']',17.20870265914585,17.20870265914585
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['LTS']',10.794590025359255,10.794590025359255
uncorrelated: pop_name=='['LTS']',cortex: pop_name=='['CP']',21.63235294117647,21.63235294117647
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['LTS']',12.025289778714436,12.025289778714436
uncorrelated: pop_name=='['LTS']',cortex: pop_name=='['CS']',5.651260504201681,5.651260504201681
cortex: pop_name=='['CP']',cortex: pop_name=='['CP']',[23.24894339  6.76893231],[23.24894339  6.76893231]
cortex: pop_name=='['CS']',cortex: pop_name=='['CS']',[10.18776415  0.90265364],[10.18776415  0.90265364]
cortex: pop_name=='['CP']',cortex: pop_name=='['CS']',[0.9417301  8.4083045  0.22491349],[0.9417301  8.4083045  0.22491349]
cortex: pop_name=='['FSI']',cortex: pop_name=='['FSI']',[47.14932127 47.14932127],[47.14932127 47.14932127]
cortex: pop_name=='['LTS']',cortex: pop_name=='['LTS']',[17.28085868  2.86225403],[17.28085868  2.86225403]
cortex: pop_name=='['FSI']',cortex: pop_name=='['LTS']',[13.50226244 27.63348416 10.98190045],[13.50226244 27.63348416 10.98190045]
cortex: pop_name=='['CP']',cortex: pop_name=='['FSI']',[11.60484429 26.32179931  9.2366782 ],[11.60484429 26.32179931  9.2366782 ]
cortex: pop_name=='['CS']',cortex: pop_name=='['FSI']',[14.24636678 23.26228374  9.95570934],[14.24636678 23.26228374  9.95570934]
cortex: pop_name=='['CP']',cortex: pop_name=='['LTS']',[15.12126697 32.34932127 14.72036199],[15.12126697 32.34932127 14.72036199]
cortex: pop_name=='['CS']',cortex: pop_name=='['LTS']',[16.88778281  8.04705882  4.12036199],[16.88778281  8.04705882  4.12036199]
cortex: pop_name=='FSI'Gap,cortex: pop_name=='FSI'Gap,4.6780368952314655,2.3252595155709344
cortex: pop_name=='LTS'Gap,cortex: pop_name=='LTS'Gap,1.419200954084675,0.7041420118343195
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['CP']',14.020038784744667,14.020038784744667
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['CS']',5.2325543916196615,5.2325543916196615
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['CS']',0.9243697478991597,0.9243697478991597
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['CP']',7.7534246575342465,7.7534246575342465
uncorrelated: pop_name=='['FSI']',cortex: pop_name=='['FSI']',44.3190975020145,44.3190975020145
